,Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,source,Item_Type_Combined,years
1548,Non-Edible,NCK18,166.9184,660.4736,0.011211251,9.6,OUT010,Tier 3,Small,Grocery Store,train,Non-consumable,15
1549,Regular,FDX27,94.9436,1229.0668,0.11429451199999999,20.7,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1550,Low Fat,FDB08,159.9578,2727.7826,0.031103357,6.055,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1551,Low Fat,FDX43,165.05,2330.3,0.08527498800000001,5.655,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1552,Low Fat,FDA20,186.424,1304.968,0.066892471,6.78,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1553,Low Fat,FDC04,241.3854,483.3708,0.078764059,15.599999999999998,OUT019,Tier 1,Small,Grocery Store,train,Food,28
1554,Regular,FDG17,244.4486,4153.9262,0.036042938999999996,6.865,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1555,Regular,FDU58,188.4898,187.0898,0.04855968,6.61,OUT010,Tier 3,Small,Grocery Store,train,Food,15
1556,Low Fat,FDP24,120.9756,3877.6192,0.082602127,20.599999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1557,Non-Edible,NCT29,121.9414,1462.0968,0.064240743,12.6,OUT045,Tier 2,Small,Supermarket Type1,train,Non-consumable,11
1558,Low Fat,FDB08,160.3578,1765.0358,0.031230058999999998,6.055,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1559,Non-Edible,NCB43,188.3898,3554.7062,0.100114941,20.2,OUT045,Tier 2,Small,Supermarket Type1,train,Non-consumable,11
1560,Regular,FDL09,168.8816,167.7816,0.22417463,19.599999999999998,OUT019,Tier 1,Small,Grocery Store,train,Food,28
1561,Low Fat,DRK49,40.5138,446.7518,0.035943717,14.15,OUT046,Tier 1,Small,Supermarket Type1,train,Drinks,16
1562,Regular,FDR37,184.4292,3101.2964,0.06619442,16.5,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1563,Regular,FDG56,61.0536,1898.8616,0.07143905099999999,13.3,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1564,Low Fat,FDE34,181.7634,6179.9556,0.108059141,9.195,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1565,Low Fat,FDE16,207.5954,6668.6528,0.026216144,8.894999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1566,Low Fat,FDT58,168.6816,1342.2528,0.085938463,9.0,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1567,Regular,FDR03,207.898,3095.97,0.008734284,15.7,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1568,Non-Edible,NCL30,128.7336,2173.1712,0.049016517,18.1,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
1569,Low Fat,FDT22,59.821999999999996,1677.816,0.111554381,10.394999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1570,Regular,FDP45,253.1724,5285.1204,0.030672457,15.7,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1571,Regular,FDS15,107.1596,2804.3496,0.07799564099999999,9.195,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1572,Low Fat,FDF16,146.6076,1773.6912,0.08571527300000001,7.299999999999999,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1573,Regular,FDL13,234.93,4660.6,0.05643278400000001,13.85,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1574,Non-Edible,NCV30,61.451,126.50200000000001,0.066200667,20.2,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-consumable,4
1575,Regular,FDG33,172.2764,171.7764,0.24554262699999999,5.365000000000001,OUT019,Tier 1,Small,Grocery Store,train,Food,28
1576,Regular,FDO10,55.5588,1603.2464,0.012751700000000001,13.65,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1577,Regular,FDQ03,238.7248,2133.2232,0.07794933400000001,15.0,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1578,Non-Edible,NCC55,36.0848,372.848,0.06402288099999999,10.695,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-consumable,4
1579,Regular,FDD52,109.15700000000001,1867.569,0.182407266,18.25,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1580,Regular,FDI16,54.864,319.584,0.136328794,14.0,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1581,Low Fat,FDB44,210.0586,4221.1720000000005,0.016958832,6.655,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1582,Regular,FDA25,101.199,1031.99,0.068125756,16.5,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1583,Regular,FDV33,257.8304,1808.3128,0.02734361,9.6,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1584,Regular,FDX47,155.8288,1099.9016,0.034658144,6.55,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1585,Low Fat,FDO50,89.8804,1102.5648,0.06729972233333333,16.25,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1586,Regular,FDV57,179.86599999999999,2696.49,0.065841719,15.25,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1587,Regular,FDB02,174.537,1235.059,0.029158762999999997,9.695,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1588,Low Fat,FDD16,74.7696,74.5696,0.063649582,20.5,OUT019,Tier 1,Small,Grocery Store,train,Food,28
1589,Low Fat,FDX02,225.0404,4950.8888,0.05706009,16.0,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1590,Low Fat,FDP11,218.3166,435.4332,0.11566015,15.85,OUT010,Tier 3,Small,Grocery Store,train,Food,15
1591,Low Fat,FDH32,98.241,2220.4429999999998,0.075691713,12.799999999999999,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1592,Non-Edible,NCL18,193.9136,3110.6176,0.167844438,18.85,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
1593,Regular,FDT12,224.5062,4514.124,0.049722335,6.215,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1594,Low Fat,FDD50,167.7132,3889.6036,0.14095631,18.849999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1595,Non-Edible,NCU05,80.8618,1288.9888,0.058827557,11.8,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
1596,Low Fat,FDI56,90.3146,1733.0774,0.093765794,7.325,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1597,Low Fat,DRL11,159.2946,1893.5352,0.048092816,10.5,OUT049,Tier 1,Medium,Supermarket Type1,train,Drinks,14
1598,Regular,FDQ08,61.9536,1225.072,0.018968743,15.7,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1599,Low Fat,FDW20,124.973,2463.46,0.024032484,20.75,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1600,Regular,FDW46,63.4484,1043.9744,0.070444232,13.0,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1601,Regular,FDO09,264.491,6574.775,0.125469442,13.5,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1602,Low Fat,DRJ49,128.9652,1679.1476,0.01405025,6.865,OUT018,Tier 3,Medium,Supermarket Type2,train,Drinks,4
1603,Low Fat,FDP26,103.0306,2404.2038,0.139436695,7.785,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1604,Regular,FDO19,46.9034,972.068,0.016593506,17.7,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1605,Non-Edible,NCG43,93.6462,277.6386,0.124261614,20.2,OUT010,Tier 3,Small,Grocery Store,train,Non-consumable,15
1606,Low Fat,FDG02,189.5188,1904.1879999999999,0.011261165,7.855,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1607,Low Fat,FDO32,45.906000000000006,419.454,0.120520818,6.36,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1608,Regular,FDR34,229.4352,4809.7392,0.015965308,17.0,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1609,Low Fat,FDU59,163.5552,1787.0072,0.09638622699999999,5.78,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1610,Low Fat,FDN31,187.953,2656.542,0.073029341,11.5,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1611,Regular,FDT55,158.1946,6942.9624,0.043443752999999995,13.599999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1612,Low Fat,FDE08,147.3734,2375.5744,0.049520592999999995,18.2,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1613,Low Fat,FDK52,223.8062,4288.4178,0.079152918,18.25,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1614,Low Fat,FDW11,60.4194,990.7104,0.048741487,12.6,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1615,Regular,FDC03,195.3794,3511.4292,0.071958197,8.575,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1616,Low Fat,FDR43,37.719,549.285,0.162147349,18.2,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1617,Regular,FDL14,155.2972,311.5944,0.05382735,8.115,OUT010,Tier 3,Small,Grocery Store,train,Food,15
1618,Low Fat,FDP39,52.4324,571.2564,0.069565759,12.65,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1619,Low Fat,FDG29,40.0454,419.454,0.056019324,17.599999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1620,Low Fat,DRH15,41.9428,1537.9979999999998,0.10991127199999999,8.775,OUT046,Tier 1,Small,Supermarket Type1,train,Drinks,16
1621,Regular,FDT11,187.7556,3755.112,0.029366813,5.94,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1622,Low Fat,FDU48,131.5284,1581.9408,0.055347985,18.85,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1623,Regular,FDY12,49.2008,657.8104,0.13564397244444446,9.8,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1624,Regular,FDS44,238.3538,5528.1374,0.156926608,12.65,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1625,Non-Edible,NCP06,149.8366,2267.049,0.039405676,20.7,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-consumable,4
1626,Low Fat,DRH23,55.2614,718.3982,0.17017651600000003,14.65,OUT013,Tier 3,High,Supermarket Type1,train,Drinks,26
1627,Low Fat,FDA16,222.8456,7073.4592,0.033777628999999997,6.695,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1628,Low Fat,FDT45,55.8956,491.3604,0.057546914000000005,15.85,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1629,Regular,FDE56,61.5194,1052.6298,0.16009590099999998,17.25,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1630,Regular,FDA40,87.4856,263.6568,0.09983272800000001,16.0,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1631,Low Fat,FDA39,40.2822,628.5152,0.012717946,6.32,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1632,Non-Edible,NCB19,86.7882,1975.4286,0.09027863400000001,6.525,OUT035,Tier 2,Small,Supermarket Type1,train,Non-consumable,9
1633,Low Fat,FDZ34,191.882,3861.64,0.066472248875,6.695,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1634,Regular,FDV22,157.963,2816.3340000000003,0.009958940999999999,14.85,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1635,Low Fat,FDO40,150.7392,3131.9232,0.032678839,17.1,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1636,Regular,FDD21,115.0176,4122.6336,0.022936951625000004,10.3,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1637,Low Fat,FDO36,179.166,3056.022,0.077849003,19.7,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1638,Regular,FDV34,73.5038,1478.076,0.011443222,10.695,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1639,Non-Edible,NCY18,177.1054,2626.5809999999997,0.031214809,7.285,OUT045,Tier 2,Small,Supermarket Type1,train,Non-consumable,11
1640,Non-Edible,NCM54,127.3678,3306.3628,0.051146565,17.7,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-consumable,4
1641,Low Fat,FDB59,198.0084,793.6336,0.015302653000000001,18.25,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1642,Regular,FDS45,106.7622,211.7244,0.04937018,5.175,OUT010,Tier 3,Small,Grocery Store,train,Food,15
1643,Low Fat,FDV24,148.705,1198.44,0.08812433033333332,5.635,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1644,Low Fat,FDD46,155.5998,153.7998,0.23643360100000002,6.035,OUT010,Tier 3,Small,Grocery Store,train,Food,15
1645,Low Fat,FDQ39,191.4846,3057.3536,0.081372267,14.8,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1646,Regular,FDD52,111.65700000000001,1537.9979999999998,0.18329488,18.25,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1647,Regular,FDL39,179.4318,360.8636,0.06358934,16.1,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1648,Low Fat,FDV02,170.4106,513.3318,0.060792265,16.75,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1649,Regular,FDE11,184.3924,4257.1252,0.12742662800000001,17.7,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1650,Non-Edible,NCU54,208.92700000000002,7130.718000000001,0.098775709,8.88,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
1651,Low Fat,FDR43,38.319,109.85700000000001,0.270300331,18.2,OUT010,Tier 3,Small,Grocery Store,train,Food,15
1652,Low Fat,FDD51,44.9744,498.0184,0.119852889,11.15,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1653,Low Fat,FDO60,45.3086,490.6946,0.034563936,20.0,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1654,Non-Edible,NCS06,263.091,5522.811,0.031710329,7.935,OUT013,Tier 3,High,Supermarket Type1,train,Non-consumable,26
1655,Low Fat,FDX50,110.7228,1657.842,0.074778547,20.1,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1656,Regular,FDQ55,114.7834,3455.502,0.013035608999999998,13.65,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1657,Regular,FDL52,36.7506,75.9012,0.046277955999999995,6.635,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1658,Low Fat,FDK52,226.1062,6771.186,0.07937949999999999,18.25,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1659,Non-Edible,NCO02,66.0142,988.7130000000001,0.073783159,11.15,OUT017,Tier 2,Small,Supermarket Type1,train,Non-consumable,6
1660,Non-Edible,NCO30,185.6608,918.804,0.01572192,19.5,OUT035,Tier 2,Small,Supermarket Type1,train,Non-consumable,9
1661,Low Fat,FDA33,148.2076,3399.5748,0.033952603,6.48,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1662,Regular,FDB12,102.7648,1142.5128,0.10522002400000001,11.15,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1663,Low Fat,FDT40,125.8678,3560.6984,0.09571560800000001,5.985,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1664,Non-Edible,NCO05,99.3384,2759.0752,0.046822808,7.27,OUT017,Tier 2,Small,Supermarket Type1,train,Non-consumable,6
1665,Regular,FDR32,227.5694,3653.9104,0.07395468533333333,6.78,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1666,Regular,FDM04,50.7666,512.6659999999999,0.04731256,9.195,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1667,Regular,DRL01,232.8958,5608.6992,0.077108099,19.5,OUT013,Tier 3,High,Supermarket Type1,train,Drinks,26
1668,Low Fat,FDQ56,83.9908,1426.1436,0.10602747400000001,6.59,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1669,Low Fat,FDH08,229.601,6201.927,0.01742908,7.51,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1670,Non-Edible,NCQ06,254.1014,255.0014,0.073229342,13.0,OUT019,Tier 1,Small,Grocery Store,train,Non-consumable,28
1671,Low Fat,FDG16,215.0192,1078.596,0.157257637,15.25,OUT019,Tier 1,Small,Grocery Store,train,Food,28
1672,Low Fat,FDZ40,55.7298,1024.6662,0.039988162,8.935,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1673,Low Fat,FDY51,220.0798,1322.2788,0.081119484,12.5,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1674,Non-Edible,NCN41,123.773,1231.73,0.052421981,17.0,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-consumable,4
1675,Non-Edible,NCM17,46.4086,2007.3870000000002,0.070791391,7.93,OUT027,Tier 3,Medium,Supermarket Type3,train,Non-consumable,28
1676,Low Fat,FDP39,53.5324,830.9184,0.069817659,12.65,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1677,Regular,FDZ08,82.7592,577.9144,0.10997157800000001,12.5,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1678,Regular,FDU03,184.2292,1277.0044,0.09195097199999999,18.7,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1679,Regular,FDZ49,218.4798,2203.798,0.133145617,11.0,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1680,Non-Edible,NCX30,248.6776,495.3552,0.046609280999999995,16.7,OUT019,Tier 1,Small,Grocery Store,train,Non-consumable,28
1681,Low Fat,FDV08,40.5454,545.2902,0.028652919,7.35,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1682,Low Fat,FDB15,264.5568,5536.7928,0.136696892,10.895,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1683,Regular,FDY49,165.3184,990.7104,0.012002075,17.2,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1684,Regular,FDF24,83.7934,1474.0812,0.025513973,15.5,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1685,Low Fat,DRK47,229.4694,2055.3246,0.06419430400000001,7.905,OUT045,Tier 2,Small,Supermarket Type1,train,Drinks,11
1686,Low Fat,DRD37,45.006,792.302,0.013920031999999999,9.8,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,6
1687,Regular,FDH40,79.2276,649.8208,0.079251097,11.6,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1688,Regular,FDL12,59.422,1078.596,0.121043709,15.849999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1689,Low Fat,FDW11,60.1194,1114.5492,0.048545853,12.599999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1690,Non-Edible,NCE06,159.7894,1294.3152,0.091467933,5.825,OUT035,Tier 2,Small,Supermarket Type1,train,Non-consumable,9
1691,Low Fat,FDF32,196.3426,1384.1982,0.05807434344444445,16.35,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1692,Low Fat,DRI47,141.8128,1869.5664,0.020916223,14.7,OUT035,Tier 2,Small,Supermarket Type1,train,Drinks,9
1693,Low Fat,DRA12,141.9154,992.7078,0.03493779266666667,11.6,OUT035,Tier 2,Small,Supermarket Type1,train,Drinks,9
1694,Low Fat,FDX45,155.16299999999998,2972.797,0.104768536,16.75,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1695,Low Fat,FDR35,197.2742,2587.9646,0.020680498999999998,12.5,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1696,Regular,FDK03,253.0356,254.3356,0.123727659,12.6,OUT010,Tier 3,Small,Grocery Store,train,Food,15
1697,Non-Edible,NCJ18,117.6124,3910.9092,0.16380550900000002,12.35,OUT013,Tier 3,High,Supermarket Type1,train,Non-consumable,26
1698,Low Fat,FDN48,93.0804,2113.2492,0.065082452,13.35,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1699,Regular,FDZ59,165.65,665.8,0.18212836300000002,6.630000000000001,OUT019,Tier 1,Small,Grocery Store,train,Food,28
1700,Regular,FDB57,223.4772,7116.0704,0.01871404,20.25,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1701,Low Fat,DRP35,129.3336,127.8336,0.159096908,18.849999999999998,OUT019,Tier 1,Small,Grocery Store,train,Drinks,28
1702,Regular,FDZ59,166.85,5326.4,0.103935018,6.63,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1703,Regular,FDU58,188.4898,4677.245,0.029129907000000003,6.61,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1704,Regular,FDL09,166.8816,1845.5976,0.128011859,19.6,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1705,Regular,FDY38,234.53,6524.84,0.11985054099999999,13.6,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1706,Low Fat,FDI46,252.5724,3271.7412,0.073985248,9.5,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1707,Regular,FDL03,197.511,982.055,0.027233781000000002,19.25,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1708,Low Fat,DRC25,86.7882,85.8882,0.079440262,5.73,OUT019,Tier 1,Small,Grocery Store,train,Drinks,28
1709,Regular,FDU60,168.7132,6426.3016,0.060022526,20.0,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1710,Low Fat,FDP25,217.0824,6769.8544,0.02110482,15.200000000000001,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
1711,Low Fat,FDO57,161.0578,481.3734,0.18195852399999998,20.75,OUT010,Tier 3,Small,Grocery Store,train,Food,15
1712,Low Fat,FDQ09,114.8834,3340.3186,0.058222587,7.235,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1713,Non-Edible,NCY05,36.6874,1058.622,0.054723717000000005,13.5,OUT027,Tier 3,Medium,Supermarket Type3,train,Non-consumable,28
1714,Low Fat,FDA20,187.72400000000002,1491.392,0.066724663,6.78,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1715,Low Fat,FDF16,146.3076,886.8456,0.144167934,7.3,OUT010,Tier 3,Small,Grocery Store,train,Food,15
1716,Non-Edible,NCG07,188.753,3795.06,0.052458358,12.3,OUT013,Tier 3,High,Supermarket Type1,train,Non-consumable,26
1717,Low Fat,FDR46,145.276,2490.092,0.139985583,16.85,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1718,Regular,FDP22,49.8666,563.9326,0.09928629800000001,14.65,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1719,Low Fat,FDL45,123.7704,3129.26,0.037680711,15.6,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1720,Non-Edible,NCF42,176.2712,1230.3984,0.16806490899999998,17.35,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-consumable,4
1721,Low Fat,FDD04,141.3154,3261.7542,0.090111173,16.0,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1722,Low Fat,FDC45,170.9106,1197.7742,0.136286138,17.0,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1723,Regular,FDI40,100.5358,2111.2518,0.125857678,11.5,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1724,Regular,FDQ11,256.5988,2055.9904,0.067700925,5.695,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1725,Low Fat,DRM48,36.0848,1193.1136,0.112896669,15.2,OUT046,Tier 1,Small,Supermarket Type1,train,Drinks,16
1726,Low Fat,FDS12,126.5362,1761.7068,0.173973652,9.1,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1727,Low Fat,FDR46,146.076,2636.5679999999998,0.1453632375,16.85,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1728,Non-Edible,NCO02,65.9142,790.9704,0.073516952,11.15,OUT045,Tier 2,Small,Supermarket Type1,train,Non-consumable,11
1729,Low Fat,FDQ52,247.4434,2980.1208,0.119285634,17.0,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1730,Regular,FDY28,215.2218,3419.5488,0.153011599,7.47,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1731,Low Fat,FDE32,37.3506,834.9132,0.04875891,20.7,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1732,Regular,FDJ58,173.2764,3779.0808,0.10527616199999999,15.6,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1733,Regular,FDJ27,100.7674,814.9392,0.122123201,17.7,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1734,Non-Edible,NCM18,60.0194,1114.5492,0.082970667,13.0,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
1735,Regular,FDA02,146.3786,866.8716,0.029782937000000002,14.0,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1736,Regular,FDT26,119.044,2396.88,0.067953506,18.85,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1737,Low Fat,DRD60,182.4634,1999.3974,0.03722507,15.7,OUT035,Tier 2,Small,Supermarket Type1,train,Drinks,9
1738,Non-Edible,NCR18,44.0112,468.7232,0.020487625,15.85,OUT046,Tier 1,Small,Supermarket Type1,train,Non-consumable,16
1739,Regular,FDO27,94.3752,1342.2528,0.179077475,6.175,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
1740,Low Fat,FDP25,216.4824,218.3824,0.037131628,15.200000000000001,OUT019,Tier 1,Small,Grocery Store,train,Food,28
1741,Regular,FDQ51,48.3718,614.5334,0.017547958,16.0,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1742,Non-Edible,NCH07,158.1604,1426.1436,0.093191195,13.15,OUT017,Tier 2,Small,Supermarket Type1,train,Non-consumable,6
1743,Regular,FDP44,102.7332,1537.9979999999998,0.079875237,16.5,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1744,Non-Edible,NCP55,57.0614,939.4438,0.01125332,14.65,OUT017,Tier 2,Small,Supermarket Type1,train,Non-consumable,6
1745,Regular,FDO09,261.491,3418.883,0.125170423,13.5,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
1746,Low Fat,FDP38,50.6008,404.8064,0.032152004,10.1,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1747,Regular,FDI48,51.4666,974.0654,0.056033565,11.85,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
1748,Regular,FDS58,161.0578,2406.867,0.021049215,9.285,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1749,Regular,FDJ55,223.5404,5626.01,0.023526504,12.8,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
1750,Non-Edible,NCF06,260.8962,5956.9126,0.020229757,6.235,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
1751,Low Fat,FDF41,246.84599999999998,6404.996,0.131445848,12.15,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
1752,Non-Edible,NCL05,44.077,216.385,0.083862625,19.599999999999998,OUT019,Tier 1,Small,Grocery Store,train,Non-consumable,28
1753,Regular,FDT24,78.2328,1158.492,0.18614827,12.35,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1754,Regular,FDK08,101.0016,202.4032,0.20471303600000001,9.195,OUT010,Tier 3,Small,Grocery Store,train,Food,15
1755,Low Fat,FDU55,260.3278,2342.9502,0.036057562,16.2,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
1756,Non-Edible,NCY18,174.6054,2976.7918,0.031327838999999996,7.285,OUT017,Tier 2,Small,Supermarket Type1,train,Non-consumable,6
1757,Regular,FDS11,224.7088,3131.9232,0.055558509000000006,7.05,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
